param_id,repetition,accident_probability,helmet,change_lane_switch,scooter_safety_slider,average_congestion_final,avg_car_travel_time_final,avg_scooter_travel_time_final,car_person_accidents_final,car_scooter_accidents_final,helmet_ratio_final,scooter_person_accidents_final,scooter_scooter_accidents_final,step_final,average_congestion_max,avg_car_travel_time_max,avg_scooter_travel_time_max,car_person_accidents_max,car_scooter_accidents_max,helmet_ratio_max,scooter_person_accidents_max,scooter_scooter_accidents_max,step_max,average_congestion_mean,avg_car_travel_time_mean,avg_scooter_travel_time_mean,car_person_accidents_mean,car_scooter_accidents_mean,helmet_ratio_mean,scooter_person_accidents_mean,scooter_scooter_accidents_mean,step_mean,average_congestion_min,avg_car_travel_time_min,avg_scooter_travel_time_min,car_person_accidents_min,car_scooter_accidents_min,helmet_ratio_min,scooter_person_accidents_min,scooter_scooter_accidents_min,step_min
10,3,0.1,1,1,0.5,0.41407867494824,3936.2580645161297,3345.4262295082,4.0,3.0,1.0,11.0,7.0,30001.0,14.9068322981366,3936.2580645161297,3345.4262295082,4.0,3.0,1.0,11.0,7.0,30001.0,1.59327404398062,0.0,0.0,3.62535830944604,2.76044930337977,1.0,10.1717218852077,6.77031531231251,15000.5,0,6,29,0,0,1,0,0,0
11,1,0.1,1,1,0.7,0.745341614906832,4435.56896551724,3759.48333333333,3.0,2.0,1.0,12.0,7.0,30001.0,15.2380952380952,4435.56896551724,3759.48333333333,3.0,2.0,1.0,12.0,7.0,30001.0,1.91294355393614,0.0,0.0,2.768215452,1.78344777014866,1.0,10.3932404506366,6.61969202053196,15000.5,0,128,42,0,0,1,0,0,0
11,2,0.1,1,1,0.7,0.248447204968944,3617.22388059702,3881.73076923077,2.0,5.0,1.0,11.0,10.0,30001.0,15.4037267080745,3617.22388059702,3881.73076923077,2.0,5.0,1.0,11.0,10.0,30001.0,1.53841779768206,0.0,0.0,1.63002466502233,4.7583827744817,1.0,9.795713619,9.514265716,15000.5,0,401,175,0,0,1,0,0,0
11,3,0.1,1,1,0.7,0.579710144927536,4844.42857142857,3667.0149253731297,6.0,5.0,1.0,9.0,4.0,30001.0,15.1552795031056,4844.42857142857,3667.0149253731297,6.0,5.0,1.0,9.0,4.0,30001.0,1.9060399424033,0.0,0.0,5.38050796613559,4.30324645023665,1.0,8.429838011,3.52213185787614,15000.5,0,408,330,0,0,1,0,0,0
12,1,0.2,0,0,0.2,0.331262939958592,3810.25925925926,4106.10638297872,5.0,5.0,0.0,23.0,8.0,30001.0,7.53623188405797,3810.25925925926,4106.10638297872,5.0,5.0,0.0,23.0,8.0,30001.0,1.15913597478631,0.0,0.0,4.504099726684889,4.79361375908273,0.0,21.5459302713152,7.548563429104729,15000.5,0,281,490,0,0,0,0,0,0
12,2,0.2,0,0,0.2,0.248447204968944,3247.17543859649,4022.84090909091,4.0,1.0,0.0,13.0,14.0,30001.0,7.86749482401656,3247.17543859649,4022.84090909091,4.0,1.0,0.0,13.0,14.0,30001.0,1.01611169331323,0.0,0.0,3.49770015332311,0.827478168122125,0.0,12.2648823411773,13.2551496566896,15000.5,0,384,68,0,0,0,0,0,0
12,3,0.2,0,0,0.2,0.41407867494824,3336.39583333333,4708.87037,7.0,4.0,0.0,13.0,9.0,30001.0,8.033126294,3336.39583333333,4708.87037,7.0,4.0,0.0,13.0,9.0,30001.0,1.14690766647348,0.0,0.0,6.37094193720419,3.560395974,0.0,12.2406172921805,8.72358509432705,15000.5,0,347,0,0,0,0,0,0,0
13,1,0.2,0,0,0.5,0.496894409937888,3623.24137931034,3164.20512820513,7.0,2.0,0.0,19.0,13.0,30001.0,7.53623188405797,3623.24137931034,3164.20512820513,7.0,2.0,0.0,19.0,13.0,30001.0,1.22375002467091,0.0,0.0,6.10129324711686,1.81364575694954,0.0,16.2325511632558,11.6510899273382,15000.5,0,71,114,0,0,0,0,0,0
13,2,0.2,0,0,0.5,0.165631469979296,4075.18644067797,4146.97777777778,8.0,2.0,,21.0,11.0,30001.0,7.6190476190476195,4075.18644067797,4146.97777777778,8.0,2.0,0.0,21.0,11.0,30001.0,1.1775336440653,0.0,0.0,7.24285047663489,1.46326911539231,0.0,19.5727284847677,10.016065595627,15000.5,0,0,8,0,0,0,0,0,0
13,3,0.2,0,0,0.5,0.082815735,3558.9,3781.6923076923104,3.0,2.0,0.0,17.0,11.0,30001.0,8.11594202898551,3558.9,3781.6923076923104,3.0,2.0,0.0,17.0,11.0,30001.0,0.923259360349327,0.0,0.0,2.86930871275248,1.90737284181055,0.0,15.912439170722,10.4516032264516,15000.5,0,49,312,0,0,0,0,0,0
14,1,0.2,0,0,0.7,0.331262939958592,3708.64,5129.08333333333,5.0,3.0,0.0,29.0,10.0,30001.0,8.53002070393375,3708.64,5129.08333333333,5.0,3.0,0.0,29.0,10.0,30001.0,1.162536714254,0.0,0.0,4.62412505832945,2.89144057062862,0.0,26.1443570428638,9.361942537,15000.5,0,296,71,0,0,0,0,0,0
14,2,0.2,0,0,0.7,0.165631469979296,4285.0,3746.71428571429,8.0,3.0,0.0,31.0,12.0,30001.0,8.033126294,4285.0,3746.71428571429,8.0,3.0,0.0,31.0,12.0,30001.0,1.06467160298384,0.0,0.0,6.7654156389574,2.82987800813279,0.0,29.1091260582628,11.421705219652,15000.5,0,10,0,0,0,0,0,0,0
